film,year_film,year_ceremony,category,imdb_score_x,num_voted_users_x,budget_x,language_x,country_x,gross_x,genres_x,num_user_for_reviews_x,duration_x,director_name
Memoirs of a Geisha,2005,2006,ART DIRECTION,7.3,119286,85000000.0,English,USA,57010853,Drama|Romance,548,145,Rob Marshall
Memoirs of a Geisha,2005,2006,CINEMATOGRAPHY,7.3,119286,85000000.0,English,USA,57010853,Drama|Romance,548,145,Rob Marshall
Memoirs of a Geisha,2005,2006,COSTUME DESIGN,7.3,119286,85000000.0,English,USA,57010853,Drama|Romance,548,145,Rob Marshall
Happy Feet,2006,2007,ANIMATED FEATURE FILM,6.5,132501,100000000.0,English,USA,197992827,Animation|Comedy|Family|Music|Romance,548,108,George Miller
Shrek,2001,2002,ANIMATED FEATURE FILM,7.9,467113,60000000.0,English,USA,267652016,Adventure|Animation|Comedy|Family|Fantasy,945,90,Andrew Adamson
Little Miss Sunshine,2006,2007,ACTOR IN A SUPPORTING ROLE,7.9,355810,8000000.0,English,USA,59889948,Comedy|Drama,889,101,Jonathan Dayton
Little Miss Sunshine,2006,2007,WRITING (Original Screenplay),7.9,355810,8000000.0,English,USA,59889948,Comedy|Drama,889,101,Jonathan Dayton
The Lives of Others,2006,2007,FOREIGN LANGUAGE FILM,8.5,259379,2000000.0,German,Germany,11284657,Drama|Thriller,407,137,Florian Henckel von Donnersmarck
Road to Perdition,2002,2003,CINEMATOGRAPHY,7.7,200359,80000000.0,English,USA,104054514,Crime|Drama|Thriller,1009,117,Sam Mendes
Cast Away,2000,2001,ACTOR IN A LEADING ROLE,7.7,394317,90000000.0,English,USA,233630478,Adventure|Drama|Romance,1051,143,Robert Zemeckis
Cast Away,2000,2001,SOUND,7.7,394317,90000000.0,English,USA,233630478,Adventure|Drama|Romance,1051,143,Robert Zemeckis
Spider-Man 2,2004,2005,VISUAL EFFECTS,7.3,411164,200000000.0,English,USA,373377893,Action|Adventure|Fantasy|Romance,1303,135,Sam Raimi
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,2006,MAKEUP,6.9,286506,180000000.0,English,USA,291709845,Adventure|Family|Fantasy,1463,150,Andrew Adamson
Hustle & Flow,2005,2006,MUSIC (Original Song),7.4,33567,8000000.0,English,USA,22201636,Crime|Drama|Music,206,116,Craig Brewer
Mystic River,2003,2004,ACTOR IN A LEADING ROLE,8.0,338415,25000000.0,English,USA,90135191,Crime|Drama|Mystery|Thriller,935,138,Clint Eastwood
Mystic River,2003,2004,ACTOR IN A SUPPORTING ROLE,8.0,338415,25000000.0,English,USA,90135191,Crime|Drama|Mystery|Thriller,935,138,Clint Eastwood
Milk,2008,2009,ACTOR IN A LEADING ROLE,7.6,136673,20000000.0,English,USA,31838002,Biography|Drama|History,281,128,Gus Van Sant
